Transaction_ID,Customer_ID,Customer_Age,Gender,Country,Product_Category,Product_Price($),Quantity_Purchased,Total_Sale_Amount($),Discount_Applied(%),Final_Sale_Amount($),Payment_Method,Order_Placed_Date,Shipping_Duration(Days),Delivery_Status,Customer_Rating(Out_of_5),Refund_Requested,Loyalty_Member,Profit_Margin(%),Customer_Segment
T10000,C5000,56,Male,Australia,Electronics,222.83,2,445.66,15,378.81,Bank Transfer,2024-10-29,10,Delivered,4,Yes,No,15.8,Regular
T10001,C5001,46,Female,India,Home & Kitchen,366.21,7,2563.47,20,2050.78,Debit Card,2024-12-01,6,Returned,4,Yes,Yes,6.3,Premium
T10002,C5002,32,Male,Germany,Clothing,470.41,6,2822.46,0,2822.46,PayPal,2023-10-15,10,Cancelled,5,Yes,No,7.4,Regular
T10003,C5003,60,Non-Binary,Australia,Clothing,303.88,3,911.64,0,911.64,PayPal,2023-04-20,13,In Transit,2,Yes,No,21.5,Occasional
T10004,C5004,25,Male,UK,Home & Kitchen,432.25,2,864.5,0,864.5,Debit Card,2024-06-09,7,Returned,3,Yes,Yes,21.2,Regular
T10005,C5005,38,Male,Australia,Clothing,412.13,4,1648.52,0,1648.52,Bank Transfer,2023-06-10,12,In Transit,2,No,No,5.8,Occasional
T10006,C5006,56,Male,USA,Electronics,90.8,3,272.4,10,245.16,Credit Card,2023-05-10,10,Delivered,1,Yes,Yes,5.0,Regular
T10007,C5007,36,Male,Germany,Electronics,245.48,7,1718.36,20,1374.69,Bank Transfer,2023-03-12,3,Delivered,4,Yes,No,7.0,Regular
T10008,C5008,40,Non-Binary,UK,Home & Kitchen,62.88,8,503.04,5,477.89,Credit Card,2023-09-11,8,Returned,1,No,No,24.1,Occasional
T10009,C5009,28,Non-Binary,India,Clothing,342.67,2,685.34,20,548.27,Bank Transfer,2023-10-26,3,Returned,5,Yes,No,19.6,Regular
T10010,C5010,28,Female,UK,Electronics,475.2,7,3326.4,10,2993.76,Debit Card,2023-01-03,1,Returned,4,Yes,No,6.0,Regular
T10011,C5011,41,Non-Binary,India,Electronics,72.86,8,582.88,0,582.88,PayPal,2024-11-20,13,Delivered,3,Yes,No,17.2,Regular
T10012,C5012,53,Non-Binary,UK,Books,368.27,6,2209.62,10,1988.66,Bank Transfer,2023-09-25,13,Delivered,4,Yes,Yes,22.8,Premium
T10013,C5013,57,Female,Australia,Books,317.96,6,1907.76,15,1621.6,Credit Card,2023-02-27,10,Cancelled,2,No,No,26.7,Occasional
T10014,C5014,41,Non-Binary,Australia,Electronics,293.88,1,293.88,15,249.8,PayPal,2024-04-15,12,Returned,2,No,No,28.4,Occasional
T10015,C5015,20,Male,Australia,Home & Kitchen,198.11,4,792.44,20,633.95,Credit Card,2024-02-16,5,Cancelled,4,Yes,Yes,13.2,Premium
T10016,C5016,39,Male,USA,Sports,180.79,1,180.79,20,144.63,Debit Card,2023-06-16,2,In Transit,5,No,Yes,8.4,Premium
T10017,C5017,19,Female,India,Sports,27.4,4,109.6,5,104.12,PayPal,2024-09-09,10,Cancelled,2,Yes,No,10.9,Occasional
T10018,C5018,41,Female,Australia,Electronics,112.86,2,225.72,5,214.43,Credit Card,2024-10-08,14,In Transit,2,No,Yes,24.4,Regular
T10019,C5019,61,Female,USA,Electronics,12.51,5,62.55,15,53.17,Bank Transfer,2024-09-26,6,In Transit,3,No,No,29.3,Regular
T10020,C5020,47,Male,India,Electronics,292.8,9,2635.2,0,2635.2,Debit Card,2023-09-19,13,Cancelled,4,No,Yes,16.7,Premium
T10021,C5021,55,Non-Binary,UK,Home & Kitchen,57.4,3,172.2,10,154.98,Debit Card,2024-02-02,10,Returned,2,No,Yes,12.6,Regular
T10022,C5022,19,Male,USA,Books,437.14,8,3497.12,5,3322.26,Debit Card,2024-11-20,9,In Transit,5,No,No,15.7,Regular
T10023,C5023,38,Female,Germany,Electronics,263.96,3,791.88,5,752.29,Bank Transfer,2023-07-26,1,Returned,1,No,Yes,12.6,Regular
T10024,C5024,50,Non-Binary,USA,Electronics,351.35,6,2108.1,0,2108.1,Bank Transfer,2023-12-26,14,Delivered,4,No,No,11.4,Regular
T10025,C5025,29,Non-Binary,USA,Clothing,208.37,4,833.48,0,833.48,PayPal,2024-06-19,13,In Transit,3,No,Yes,19.8,Regular
T10026,C5026,39,Male,India,Home & Kitchen,282.49,8,2259.92,20,1807.94,Bank Transfer,2024-12-04,4,Delivered,2,No,Yes,5.4,Regular
T10027,C5027,61,Female,UK,Electronics,471.62,6,2829.72,10,2546.75,PayPal,2023-11-04,1,Cancelled,5,No,Yes,11.5,Premium
T10028,C5028,42,Male,Germany,Clothing,45.95,8,367.6,0,367.6,Debit Card,2024-01-17,1,Returned,4,No,No,21.5,Regular
T10029,C5029,44,Non-Binary,Australia,Sports,130.7,1,130.7,5,124.16,PayPal,2024-03-06,8,Cancelled,5,Yes,No,5.8,Regular
T10030,C5030,59,Male,Australia,Electronics,391.09,6,2346.54,5,2229.21,Credit Card,2023-05-28,14,In Transit,5,No,Yes,7.1,Premium
T10031,C5031,45,Male,USA,Electronics,53.87,1,53.87,15,45.79,Debit Card,2024-07-21,14,Delivered,3,Yes,No,12.3,Regular
T10032,C5032,33,Female,India,Clothing,42.45,1,42.45,0,42.45,Debit Card,2023-02-09,13,In Transit,4,No,No,26.9,Regular
T10033,C5033,32,Female,India,Home & Kitchen,183.96,8,1471.68,20,1177.34,PayPal,2023-10-03,14,Cancelled,2,Yes,No,24.1,Occasional
T10034,C5034,64,Non-Binary,Australia,Electronics,50.62,7,354.34,10,318.91,Debit Card,2023-05-20,11,Returned,3,Yes,Yes,5.6,Regular
T10035,C5035,61,Male,Germany,Sports,294.61,3,883.83,20,707.06,Bank Transfer,2024-09-05,2,Returned,2,Yes,No,17.5,Occasional
T10036,C5036,20,Male,UK,Electronics,117.01,6,702.06,5,666.96,Credit Card,2023-04-30,1,In Transit,1,No,Yes,11.9,Regular
T10037,C5037,54,Male,Germany,Sports,448.37,9,4035.33,20,3228.26,PayPal,2023-06-01,11,In Transit,5,No,Yes,21.2,Premium
T10038,C5038,24,Non-Binary,UK,Books,392.83,7,2749.81,5,2612.32,PayPal,2023-11-17,8,Delivered,1,No,Yes,23.0,Regular
T10039,C5039,38,Non-Binary,Australia,Books,351.35,3,1054.05,5,1001.35,Debit Card,2024-09-06,4,Cancelled,5,No,Yes,26.6,Premium
T10040,C5040,26,Female,UK,Sports,310.39,6,1862.34,5,1769.22,Bank Transfer,2023-09-09,3,In Transit,3,Yes,Yes,16.9,Regular
T10041,C5041,56,Female,India,Home & Kitchen,432.42,4,1729.68,5,1643.2,Debit Card,2024-07-20,13,Delivered,2,No,No,29.9,Occasional
T10042,C5042,35,Female,USA,Electronics,115.42,3,346.26,5,328.95,Debit Card,2023-07-25,12,In Transit,2,No,No,29.5,Occasional
T10043,C5043,21,Male,USA,Electronics,437.19,9,3934.71,15,3344.5,PayPal,2023-10-26,4,Returned,3,No,Yes,27.1,Regular
T10044,C5044,42,Male,Australia,Books,395.8,2,791.6,20,633.28,Debit Card,2024-03-15,14,Delivered,4,No,No,19.4,Regular
T10045,C5045,31,Female,India,Sports,375.34,1,375.34,15,319.04,Credit Card,2024-04-29,11,Delivered,1,No,No,15.0,Occasional
